mod_word_num,mean,low,high,above,intercept,pval_equiv,mean_ms,low_ms,high_ms
-5,0.02747293079057069,-2.6716477509521126,2.640116935628198,0.49975,6.703405295649403,1,22.705770864566375,-758.8171436271618,10609.400437189463
-4,-0.22909147272967895,-2.230481096700008,1.661710695585308,0.35925,7.044112550876366,0.72,-234.6555597054753,-1022.9131646612651,4891.879345753035
-3,0.11374273655942706,-1.9794967965054735,2.6727585149725632,0.5125,6.5669404518027665,0.98,85.67274466610172,-612.947623182931,9586.747480575508
-2,-0.30310589671579,-3.2826340542971337,2.132017443914743,0.437,6.700815289007135,0.87,-212.60041609153677,-782.5545738212148,6042.611203952752
-1,-0.4723085278465429,-3.4384215263256745,1.975513366639352,0.344,7.0750537429979055,0.69,-444.9910729290075,-1144.1432616244779,7341.263210545115
0,-0.3016944707676405,-3.163972367104757,2.3894188874009425,0.366,7.46917389409593,0.73,-456.5854226745512,-1679.0736492813826,17368.80392176979
1,0.32020058831795417,-2.2885197198461955,3.5425287914871566,0.64,6.6642612683959745,0.72,295.84104346131403,-704.3854011276823,26302.597738376484
2,0.22891319967136645,-2.2627474747505962,2.8525877383139004,0.62075,6.608789835639775,0.76,190.76007380998158,-664.412598592949,12111.993977282205
3,-0.16766538370835493,-2.7258313162907735,2.481733585449186,0.38175,6.707330460900632,0.76,-126.32826102234117,-764.7856911490957,8971.101171250264
4,-0.2646049238249916,-1.8351766027834109,1.3408456643682087,0.21825,6.888699258906522,0.44,-228.102479938246,-824.5513508766776,2769.0023702658673
5,0.05304198471294169,-7.114897043440867,7.54370139970538,0.50675,6.826058423447801,0.99,50.200506967308,-920.8021464363902,1739712.188516962
