mod_word_num,mean,low,high,above,intercept,pval_equiv,mean_ms,low_ms,high_ms
-5,0.3962541793893615,-2.077349050778892,2.952511515318181,0.66125,6.679548517336987,0.68,387.0330352734568,-696.2563000108107,14449.850978596542
-4,-0.05372078540008229,-2.8542285766530426,2.188577823963436,0.44475,6.907132811202318,0.89,-52.270772686416535,-941.8133308936414,7917.584724954303
-3,-0.8036720589485788,-2.755829740286669,1.2018145165299337,0.134,7.556817091110056,0.27,-1056.9955015239266,-1792.11408442527,4451.650722837332
-2,0.5488820355789326,-1.5467993704241894,3.0950048522993505,0.7775,6.62007510793748,0.45,548.4883319527655,-590.3048304583275,15815.539355524767
-1,0.20089701378268154,-2.3393699205740277,2.872035026576657,0.60975,7.749574330107519,0.78,516.3273950053649,-2096.907096648189,38690.979679999844
0,0.4123796034607707,-1.8422899988549681,2.7350014024978466,0.68175,7.022353005279683,0.64,572.3825216988671,-943.7282216467391,16159.430827352779
1,0.16306225035268598,-2.543941197152489,2.6925510679021283,0.5965,6.794284913436614,0.81,158.11149260165928,-822.6011387448965,12292.280984839716
2,-0.056207725474531685,-2.6369376803963163,2.4891016858531385,0.47075,6.9244774662139745,0.94,-55.578929871692026,-944.0756096171871,11236.787475284083
3,-0.03687262680917314,-2.1678496411767685,2.2422289648828886,0.469,6.885725573445205,0.94,-35.412330719457486,-866.2809237759116,8230.954519074607
4,-0.3093640435645042,-2.7548855132023586,1.990204474819829,0.33825,6.740062426811224,0.68,-225.00630477429502,-791.818717489824,5341.765789308935
5,0.3380355929127665,-1.6481561456662717,2.7150708377620143,0.67925,6.6511165394364,0.64,311.1536666201166,-624.7944801117619,10912.826273046183
