session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
62144565db8413d746bf7540,611e5734cd0691cf4000a557,APPROVED,2022-02-22 02:07:37.206000,2022-02-22 02:29:47.677000,1330.471,22,199,0,100,2022-02-22 05:18:15.151000,8D216DAB.,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
6214457f361d13563333cdcd,614177f7f709b6e1a7900d80,APPROVED,2022-02-22 02:08:03.192000,2022-02-22 02:27:34.711000,1171.519,19,67,0,100,2022-02-22 05:18:15.345000,8D216DAB,United States,United States,Unemployed (and job seeking),English,English,United States,Female,Yes
621446a7ccdd0b1d243378e2,5e3608c366f7ac5b867449f6,APPROVED,2022-02-22 02:12:57.765000,2022-02-22 02:29:24.426000,986.661,29,360,0,100,2022-02-22 05:31:55.615000,NOCODE,United States,United States,Unemployed (and job seeking),English,English,United States,Male,No
621446d22730182c0afeeca2,611317672f863e406badad3b,RETURNED,2022-02-22 02:13:43.501000,,14794.610004,24,422,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62144793097cbe8b15ef58c4,5c89de28d810a700159dd315,APPROVED,2022-02-22 02:16:55.813000,2022-02-22 02:44:44.004000,1668.191,65,365,1,100,2022-02-22 05:11:22.890000,8D216DAB,United States,United States,Other,English,English,United States,Male,No
62144802cb0abaf0308e8d6d,6110de9b4f5ac5a4399c7b46,TIMED-OUT,2022-02-22 02:18:45.820000,,14492.324372,23,54,0,100,,,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
6214483116ea21bec4c9c3c6,5c11f8202b16ba0001c8b764,APPROVED,2022-02-22 02:19:54.729000,2022-02-22 02:44:14.161000,1459.432,24,1328,4,100,2022-02-22 05:18:15.512000,8D216DAB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Female,Yes
6214493d4576d53b8aa95530,5ddc07391e42a9000b2622be,APPROVED,2022-02-22 02:24:02.567000,2022-02-22 02:53:31.610000,1769.043,56,573,4,99,2022-02-22 05:18:15.603000,8D216DAB,United States,United States,DATA EXPIRED,English,"English, Spanish",United States,Female,DATA EXPIRED
6214493dd22f1ba132d5a645,60c80c19de11452191e78dd5,APPROVED,2022-02-22 02:24:05.538000,2022-02-22 02:55:16.855000,1871.317,36,115,0,100,2022-02-22 05:11:32.982000,8D216DAB,United States,United States,Full-Time,English,English,United States,Male,No
621449731223b59ba6cce08f,5f761f4bf4c10107d66dfc96,APPROVED,2022-02-22 02:28:09.850000,2022-02-22 02:58:30.201000,1820.351,48,125,2,98,2022-02-22 05:18:15.789000,8D216DAB.,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
6214498b475902f188c92240,5fa0ef2435d00916c491c6d5,APPROVED,2022-02-22 02:25:19.117000,2022-02-22 03:00:50.270000,2131.153,21,374,0,100,2022-02-22 05:18:15.711000,8D216DAB,United States,United States,Unemployed (and job seeking),English,English,United States,Female,No
621449ec703d6b53aa6355b5,60402a855c4a2721cae6e628,TIMED-OUT,2022-02-22 02:26:58.037000,,14000.198597,56,50,0,100,,,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
62144a4ca9fbaa60383a4c60,5fbc036099f6c9050e664b2e,APPROVED,2022-02-22 02:28:32.115000,2022-02-22 02:51:54.400000,1402.285,24,290,0,100,2022-02-22 05:11:41.939000,8D216DAB,United States,United States,Full-Time,English,English,United States,Male,Yes
62144ad127a096889109af90,620bdf33a922fc3f247f7083,APPROVED,2022-02-22 02:30:43.891000,2022-02-22 03:01:39.161000,1855.27,35,4,0,100,2022-02-22 05:18:15.876000,8D216DAB,United States,United States,Full-Time,English,"English, Spanish",United States,Female,No
62144b299f0282d21bdf920b,5e52d53f158f1d2ead6fcf06,APPROVED,2022-02-22 02:32:11.977000,2022-02-22 02:44:03.089000,711.112,22,845,1,100,2022-02-22 05:56:17.405000,8D216DAB,United States,United States,Full-Time,English,English,United States,Female,No
62144b2d74d5692482610031,610792c965f99b812af40d14,APPROVED,2022-02-22 02:32:17.203000,2022-02-22 03:04:47.965000,1950.762,21,183,0,100,2022-02-22 05:18:16.037000,8D216DAB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Female,No
62144b80c248ff88de2a403a,5a8a50d01904200001561ca7,APPROVED,2022-02-22 02:33:38.711000,2022-02-22 02:56:50.107000,1391.396,32,96,2,98,2022-02-22 05:14:18.050000,8D216DAB,DATA EXPIRED,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
62144b85b405c3d2c17a31d4,611b3a549b4dcc2bd0ebe14c,APPROVED,2022-02-22 02:33:44.680000,2022-02-22 03:02:41.217000,1736.537,28,246,1,100,2022-02-22 05:18:15.954000,8D216DAB,United States,United States,DATA EXPIRED,English,"Spanish, English",United States,Female,DATA EXPIRED
62144bcfff8c76ea686811d3,5c51d7f198b0ff000110dba8,APPROVED,2022-02-22 02:35:10.317000,2022-02-22 03:06:14.048000,1863.731,53,1000,7,99,2022-02-22 05:14:18.116000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
62144bf568535cc4277f69c3,5d9264f527fdac00158fd876,APPROVED,2022-02-22 02:35:39.173000,2022-02-22 02:50:19.102000,879.929,41,1470,11,98,2022-02-22 05:29:29.707000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
62144c09829dfbeb3f0a3307,6097dca53d8eb5a82927f3b3,APPROVED,2022-02-22 02:35:56.564000,2022-02-22 03:01:06.834000,1510.27,35,135,0,100,2022-02-22 05:18:16.196000,8D216DAB,United States,United States,Full-Time,English,English,United States,Female,No
62144c7d3861e3f3273cd6a0,61002d7e6c5d2f9992ea59f3,APPROVED,2022-02-22 02:37:53.351000,2022-02-22 02:45:30.343000,456.992,20,79,1,100,2022-02-22 06:17:56.670000,8D216DAB.,United States,United States,Unemployed (and job seeking),English,English,United States,Female,No
62144c818bcd4c4ebd5fc349,6108a18306b63543e21349de,APPROVED,2022-02-22 02:37:58.112000,2022-02-22 03:08:31.808000,1833.696,60,515,4,98,2022-02-22 05:18:16.117000,: 8D216DAB.,United States,United States,Unemployed (and job seeking),English,English,United States,Female,No
62144c92ff8c76ea686811d8,60b96835d5cbb2261c7fd22c,APPROVED,2022-02-22 02:38:21.852000,2022-02-22 03:21:49.125000,2607.273,46,193,0,100,2022-02-22 05:29:29.635000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
62144ca1dc0f8d9f11f3c08b,5d2d953e1d075a0001ec41db,APPROVED,2022-02-22 02:40:55.549000,2022-02-22 03:17:15.868000,2180.319,32,397,0,100,2022-02-22 05:14:18.180000,8D216DAB,United States,United States,Due to start a new job within the next month,English,English,United States,Male,No
62144ce3980733aee1bf295c,5efe6daf6a2551378201893e,RETURNED,2022-02-22 02:39:33.457000,,13245.019284,50,859,8,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62144ce3df2808866632b602,60176cb06c4eb72baf686eeb,APPROVED,2022-02-22 02:39:40.719000,2022-02-22 02:57:53.276000,1092.557,75,398,4,97,2022-02-22 06:02:49.039000,60176cb06c4eb72baf686eeb,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
62144cea122216ce502668ee,5f262a5da3ee73344f66d050,APPROVED,2022-02-22 02:39:41.855000,2022-02-22 03:15:35.435000,2153.58,38,485,1,100,2022-02-22 05:56:17.335000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
62144d09db6a6bc7ed79ee56,57029ece68c641000f0c8db7,RETURNED,2022-02-22 02:40:11.802000,,13206.730859,30,32,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62144d33beb24571cfac6d44,6171125c1d572c106f10824e,APPROVED,2022-02-22 02:40:58.827000,2022-02-22 03:04:47.004000,1428.177,37,421,2,100,2022-02-22 05:18:16.325000,8D216DAB,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,English,United States,Female,No
62144d46039e151b0ab2ee7b,60f66877a0a732b6dbe3485d,APPROVED,2022-02-22 02:41:13.855000,2022-02-22 03:00:22.197000,1148.342,36,404,0,100,2022-02-22 05:14:18.241000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Male,DATA EXPIRED
62144d4b9f8e816f74961db4,59ad6f1e09709e00013c2ba5,RETURNED,2022-02-22 02:41:16.690000,,13141.893973,29,1502,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
62144d6153e07fd83417c4a6,5aa117356475f90001a02fd6,APPROVED,2022-02-22 02:41:37.472000,2022-02-22 03:06:18.044000,1480.572,36,745,1,100,2022-02-22 05:18:16.263000,8D216DAB,United States,United States,DATA EXPIRED,English,English,United States,Female,DATA EXPIRED
62144d724e56bfa557ea310c,5e59d06dba01301e73cba7d6,RETURNED,2022-02-22 02:42:01.374000,,13097.249457,33,728,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
